username,password,firstname,lastname,email,course1,role1
us_001,Usuario.001,Esmeralda,Garcia,correo1@gmail.com,CURSOEJEMPLO1,student
us_002,Usuario.002,Alan,Jimenez,correo2@gmail.com,CURSOEJEMPLO1,student
us_003,Usuario.003,Carlos,Guzman,correo3@gmail.com,CURSOEJEMPLO1,student
us_004,Usuario.004,Josue,Montalvan,correo4@gmail.com,CURSOEJEMPLO1,student
us_005,Usuario.005,Ninfa,Guerrero,correo5@gmail.com,CURSOEJEMPLO1,student
us_006,Usuario.006,Jonathan,Valdez,correo6@gmail.com,CURSOEJEMPLO1,student
us_007,Usuario.007,Catalina,Paz,correo7@gmail.com,CURSOEJEMPLO1,student
us_008,Usuario.008,Lizeth,Guzman,correo8@gmail.com,CURSOEJEMPLO1,student
us_009,Usuario.009,Claudio,Arenas,correo9@gmail.com,CURSOEJEMPLO1,student
us_010,Usuario.010,Yaneth,Vega,correo10@gmail.com,CURSOEJEMPLO1,student
us_011,Usuario.011,Miriam,Sanchez,correo11@gmail.com,CURSOEJEMPLO1,student
us_012,Usuario.012,Abel,Pintor,correo12@gmail.com,CURSOEJEMPLO1,student
us_013,Usuario.013,Ernesto,Garcia,correo13@gmail.com,CURSOEJEMPLO1,student
us_014,Usuario.014,Andres,Arroyo,correo14@gmail.com,CURSOEJEMPLO1,student
us_015,Usuario.015,Joel,Gil,correo15@gmail.com,CURSOEJEMPLO1,student
us_016,Usuario.016,Leonardo,Martinez,correo16@gmail.com,CURSOEJEMPLO1,student
us_017,Usuario.017,Edgar ,Vieyra,correo17@gmail.com,CURSOEJEMPLO1,student
us_018,Usuario.018,Jorge,Paniagua,correo18@gmail.com,CURSOEJEMPLO1,student
us_019,Usuario.019,Francisco,Leyva,correo19@gmail.com,CURSOEJEMPLO1,student
us_020,Usuario.020,Angel,Hernandez,correo20@gmail.com,CURSOEJEMPLO1,student
us_021,Usuario.021,Marco,Calderon,correo21@gmail.com,CURSOEJEMPLO1,student
us_022,Usuario.022,Misael,Moreno,correo22@gmail.com,CURSOEJEMPLO1,student
us_023,Usuario.023,Alfonso,Cervantes,correo23@gmail.com,CURSOEJEMPLO1,student
us_024,Usuario.024,Brayan,Garcia,correo24@gmail.com,CURSOEJEMPLO1,student
us_025,Usuario.025,Esmeralda,Garcia,correo25@gmail.com,CURSOEJEMPLO1,student
us_026,Usuario.026,Alan,Jimenez,correo26@gmail.com,CURSOEJEMPLO2,student
us_027,Usuario.027,Carlos,Guzman,correo27@gmail.com,CURSOEJEMPLO2,student
us_028,Usuario.028,Josue,Montalvan,correo28@gmail.com,CURSOEJEMPLO2,student
us_029,Usuario.029,Ninfa,Guerrero,correo29@gmail.com,CURSOEJEMPLO2,student
us_030,Usuario.030,Jonathan,Valdez,correo30@gmail.com,CURSOEJEMPLO2,student
us_031,Usuario.031,Catalina,Paz,correo31@gmail.com,CURSOEJEMPLO2,student
us_032,Usuario.032,Lizeth,Guzman,correo32@gmail.com,CURSOEJEMPLO2,student
us_033,Usuario.033,Claudio,Arenas,correo33@gmail.com,CURSOEJEMPLO2,student
us_034,Usuario.034,Yaneth,Vega,correo34@gmail.com,CURSOEJEMPLO2,student
us_035,Usuario.035,Miriam,Sanchez,correo35@gmail.com,CURSOEJEMPLO2,student
us_036,Usuario.036,Abel,Pintor,correo36@gmail.com,CURSOEJEMPLO2,student
us_037,Usuario.037,Ernesto,Garcia,correo37@gmail.com,CURSOEJEMPLO2,student
us_038,Usuario.038,Andres,Arroyo,correo38@gmail.com,CURSOEJEMPLO2,student
us_039,Usuario.039,Joel,Gil,correo39@gmail.com,CURSOEJEMPLO2,student
